EmployeeID,Age,Gender,EducationLevel,YearsOfExperience,JobRole,SkillsScore,Certifications,CompanyType,WorkHoursPerWeek,Salary
1001,59,Male,Bachelor,21,Data Analyst,2,7,MNC,50,1436319
1002,49,Female,Bachelor,23,Data Analyst,6,2,Medium Scale,52,1479728
1003,35,Female,Master,6,Data Analyst,10,6,Medium Scale,36,852363
1004,28,Male,PhD,29,Data Analyst,1,1,Medium Scale,48,1824300
1005,41,Female,Bachelor,26,Data Analyst,4,2,Medium Scale,56,1598808
1006,59,Female,Bachelor,7,Designer,8,1,Medium Scale,57,734943
1007,39,Female,Master,18,HR,10,4,Startup,51,1364616
1008,43,Female,PhD,19,Designer,5,6,Medium Scale,37,1497329
1009,31,Male,Bachelor,15,Designer,9,10,Startup,36,1168287
1010,31,Male,Bachelor,21,Developer,6,9,Medium Scale,42,1432971
1011,44,Female,Bachelor,26,Developer,1,10,Startup,59,1598152
1012,56,Male,Master,6,Developer,6,10,Medium Scale,36,854351
1013,44,Female,Bachelor,8,Manager,6,10,Medium Scale,36,882040
1014,23,Female,Bachelor,12,Developer,6,9,Medium Scale,60,1054616
1015,42,Female,Master,0,HR,8,0,Medium Scale,43,509897
1016,22,Female,Master,28,Designer,6,9,MNC,54,1867010
1017,44,Female,Bachelor,30,HR,5,8,Medium Scale,55,1824154
1018,50,Male,Master,7,Developer,2,0,Startup,59,719114
1019,58,Female,Bachelor,23,Manager,4,0,MNC,40,1462050
1020,22,Male,Bachelor,21,Manager,10,9,MNC,60,1518125
1021,41,Male,Bachelor,3,Designer,5,7,Medium Scale,46,611396
1022,53,Female,Master,2,HR,10,5,Startup,59,654846
1023,32,Female,Bachelor,26,Data Analyst,4,5,Startup,43,1558396
1024,42,Female,Master,2,HR,2,8,MNC,41,656973
1025,45,Female,Master,21,Developer,7,3,Startup,46,1436574
1026,47,Female,Master,12,Data Analyst,10,7,Medium Scale,60,1119869
1027,48,Male,Master,7,Manager,10,3,Medium Scale,59,915194
1028,36,Female,Master,6,Designer,2,1,Medium Scale,39,754167
1029,35,Female,Bachelor,26,Designer,1,10,Medium Scale,50,1628147
1030,23,Male,Bachelor,0,Manager,5,7,Medium Scale,39,438122
1031,57,Male,PhD,26,Developer,1,6,MNC,46,1783827
1032,27,Female,Bachelor,15,Manager,1,3,Medium Scale,58,1034335
1033,41,Male,Master,5,Developer,1,8,Medium Scale,60,754576
1034,29,Female,PhD,6,Data Analyst,6,8,MNC,54,937677
1035,59,Male,Bachelor,11,Manager,9,7,MNC,43,1047223
1036,38,Male,Master,22,Developer,10,0,MNC,57,1579814
1037,24,Female,Bachelor,8,Data Analyst,1,6,Startup,41,743185
1038,45,Male,Bachelor,26,Manager,5,4,Startup,53,1618794
1039,34,Male,Bachelor,10,Designer,9,6,Medium Scale,54,991675
1040,29,Male,Bachelor,9,Manager,9,8,Medium Scale,57,929325
1041,46,Male,Master,20,HR,1,1,Medium Scale,45,1350503
1042,22,Male,Master,0,Manager,8,10,Startup,55,555514
1043,40,Male,Master,17,HR,1,3,Medium Scale,46,1247196
1044,48,Female,Bachelor,30,Data Analyst,8,3,Medium Scale,37,1800917
1045,27,Female,Bachelor,3,Manager,1,1,Startup,51,489699
1046,28,Male,Master,4,Data Analyst,5,2,MNC,41,746119
1047,55,Female,Bachelor,8,Data Analyst,8,10,Startup,56,841061
1048,34,Female,PhD,26,Developer,6,7,Medium Scale,44,1767947
1049,37,Female,Master,30,Data Analyst,9,8,Startup,57,1914632
1050,56,Male,Master,16,Data Analyst,1,5,MNC,49,1231352
1051,24,Female,PhD,2,Manager,9,9,MNC,36,803653
1052,22,Male,Bachelor,15,Manager,1,1,MNC,47,1122115
1053,26,Female,Master,4,Designer,10,1,MNC,38,791755
1054,24,Male,Bachelor,15,Developer,10,6,MNC,52,1274988
1055,49,Male,PhD,2,Data Analyst,3,7,MNC,58,729921
1056,38,Female,Bachelor,19,Developer,1,7,Medium Scale,57,1292003
1057,46,Female,Master,14,HR,3,5,Medium Scale,35,1142668
1058,54,Male,Master,29,Data Analyst,2,9,Startup,36,1816175
1059,30,Female,Bachelor,2,Developer,2,7,Medium Scale,36,527738
1060,56,Female,Bachelor,19,Designer,9,0,MNC,38,1376452
1061,34,Female,Master,13,Designer,8,8,Medium Scale,37,1203323
1062,51,Male,Bachelor,30,Data Analyst,1,0,Startup,51,1688149
1063,35,Male,Bachelor,15,HR,4,2,MNC,48,1114839
1064,28,Female,Bachelor,28,Designer,1,8,Medium Scale,36,1648155
1065,34,Female,Bachelor,28,Designer,1,10,Medium Scale,50,1669019
1066,43,Female,Master,30,HR,4,4,Startup,45,1844512
1067,41,Male,Bachelor,30,Developer,2,8,MNC,59,1859690
1068,36,Male,Bachelor,16,Designer,3,8,Startup,47,1126190
1069,38,Female,Bachelor,27,Manager,9,5,MNC,35,1733928
1070,44,Female,Bachelor,23,Designer,2,10,MNC,59,1547425
1071,46,Female,Bachelor,19,Developer,4,0,Medium Scale,57,1287134
1072,45,Female,Bachelor,22,Developer,1,9,Startup,36,1402974
1073,49,Female,Bachelor,17,Data Analyst,2,6,Startup,36,1164796
1074,35,Female,Bachelor,17,Manager,5,5,Startup,55,1193743
1075,21,Male,Master,21,Developer,10,8,MNC,39,1648455
1076,45,Female,Bachelor,13,HR,1,6,Startup,38,995035
1077,27,Male,Master,17,Manager,7,10,MNC,46,1406677
1078,29,Female,Bachelor,14,Manager,4,3,Startup,60,1038321
1079,44,Female,Bachelor,14,HR,6,6,Startup,60,1088973
1080,21,Male,Master,5,Designer,8,1,Medium Scale,37,771414
1081,28,Male,Bachelor,26,HR,6,5,Startup,54,1587602
1082,44,Male,Master,14,HR,2,5,Medium Scale,44,1113692
1083,31,Male,Master,17,Designer,1,1,Medium Scale,54,1223750
1084,37,Female,Bachelor,3,Designer,8,3,MNC,52,636760
